,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,Account Holder Category
0,25,1.0,49,4,1.6,Undergraduate,0,No,Yes,No,No,No,Holds Only Security Account
1,45,19.0,34,3,1.5,Undergraduate,0,No,Yes,No,No,No,Holds Only Security Account
2,39,15.0,11,1,1.0,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
3,35,9.0,100,1,2.7,Graduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
4,35,8.0,45,4,1.0,Graduate,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
5,37,13.0,29,4,0.4,Graduate,155,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
6,53,27.0,72,2,1.5,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
7,50,24.0,22,1,0.3,Professional,0,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
8,35,10.0,81,3,0.6,Graduate,104,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
9,34,9.0,180,1,8.9,Professional,0,Yes,No,No,No,No,Does Not Hold Both Security & Deposit Account
10,65,39.0,105,4,2.4,Professional,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
11,29,5.0,45,3,0.1,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
12,48,23.0,114,2,3.8,Professional,0,No,Yes,No,No,No,Holds Only Security Account
13,59,32.0,40,4,2.5,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
14,67,41.0,112,1,2.0,Undergraduate,0,No,Yes,No,No,No,Holds Only Security Account
15,60,30.0,22,1,1.5,Professional,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
16,38,14.0,130,4,4.7,Professional,134,Yes,No,No,No,No,Does Not Hold Both Security & Deposit Account
17,42,18.0,81,4,2.4,Undergraduate,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
18,46,21.0,193,2,8.1,Professional,0,Yes,No,No,No,No,Does Not Hold Both Security & Deposit Account
19,55,28.0,21,1,0.5,Graduate,0,No,Yes,No,No,Yes,Holds Only Security Account
20,56,31.0,25,4,0.9,Graduate,111,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
21,57,27.0,63,3,2.0,Professional,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
22,29,5.0,62,1,1.2,Undergraduate,260,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
23,44,18.0,43,2,0.7,Undergraduate,163,No,Yes,No,No,No,Holds Only Security Account
24,36,11.0,152,2,3.9,Undergraduate,159,No,No,No,No,Yes,Does Not Hold Both Security & Deposit Account
25,43,19.0,29,3,0.5,Undergraduate,97,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
26,40,16.0,83,4,0.2,Professional,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
27,46,20.0,158,1,2.4,Undergraduate,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
28,56,30.0,48,1,2.2,Professional,0,No,No,No,Yes,Yes,Does Not Hold Both Security & Deposit Account
29,38,13.0,119,1,3.3,Graduate,0,Yes,No,Yes,Yes,Yes,Holds Only Deposit Account
30,59,35.0,35,1,1.2,Professional,122,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
31,40,16.0,29,1,2.0,Graduate,0,No,No,No,Yes,No,Does Not Hold Both Security & Deposit Account
32,53,28.0,41,2,0.6,Professional,193,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
33,30,6.0,18,3,0.9,Professional,0,No,No,No,No,No,Does Not Hold Both Security & Deposit Account
